name	count	institution
Microsoft Research	(0)	Microsoft Research
Nokia	(0)	Nokia
IBM Thomas J. Watson Research Center 	(0)	IBM Thomas J. Watson Research Center 
Microsoft Research Cambridge 	(0)	Microsoft Research Cambridge
IBM	(0)	IBM
Microsoft	(0)	Microsoft
IBM Research	(0)	IBM Research
Palo Alto Research Center	(0)	Palo Alto Research Center
Intel Corporation	(0)	Intel Corporation
Google Inc.	(0)	Google Inc.
IBM Almaden Research Center	(0)	IBM Almaden Research Center
Philips Research	(0)	Philips Research
Fraunhofer Institute for Applied Information Technology	(0)	Fraunhofer Institute for Applied Information Technology
Italian National Research Council	(0)	Italian National Research Council
Netherlands Organisation for Applied Scientific Research - TNO	(0)	Netherlands Organisation for Applied Scientific Research - TNO
Grudin, Jonathan	(28)	Microsoft Research
Czerwinski, Mary	(28)	Microsoft Research
Horvitz, Eric	(22)	Microsoft Research
Hinckley, Ken	(19)	Microsoft Research
Tan, Desney	(19)	Microsoft Research
White, Ryen W.	(18)	Microsoft Research
Cutrell, Edward	(18)	Microsoft Research
Morris, Meredith Ringel	(18)	Microsoft Research
Teevan, Jaime	(18)	Microsoft Research
Benko, Hrvoje	(16)	Microsoft Research
Morris, Dan	(14)	Microsoft Research
Tan, Desney S.	(14)	Microsoft Research
Lee, Bongshin	(13)	Microsoft Research
Counts, Scott	(13)	Microsoft Research
Wilson, Andrew D.	(12)	Microsoft Research
Baudisch, Patrick	(10)	Microsoft Research
Paek, Tim	(10)	Microsoft Research
Robertson, George	(10)	Microsoft Research
Smith, Greg	(10)	Microsoft Research
Brush, A.J. Bernheim	(9)	Microsoft Research
Balakrishnan, Ravin	(7)	Microsoft Research
Dumais, Susan T.	(7)	Microsoft Research
Karlson, Amy K.	(7)	Microsoft Research
Drucker, Steven M.	(7)	Microsoft Research
Agrawala, Maneesh	(6)	Microsoft Research
Fisher, Danyel	(6)	Microsoft Research
Buxton, Bill	(6)	Microsoft Research
Iqbal, Shamsi T.	(6)	Microsoft Research
Inkpen, Kori	(6)	Microsoft Research
Brush, A. J. Bernheim	(6)	Microsoft Research
Meyers, Brian	(6)	Microsoft Research
Scott, James	(6)	Microsoft Research
Venolia, Gina	(6)	Microsoft Research
Inkpen, Kori M.	(5)	Microsoft Research
Sarin, Raman	(5)	Microsoft Research
Cao, Xiang	(5)	Microsoft Research
Saponas, T. Scott	(5)	Microsoft Research
Tunkelang, Daniel	(5)	Microsoft Research
Tang, John C.	(5)	Microsoft Research
Gulwani, Sumit	(5)	Microsoft Research
Sinclair, Mike	(5)	Microsoft Research
Kules, Bill	(5)	Microsoft Research
André, Paul	(5)	Microsoft Research
Capra, Robert	(5)	Microsoft Research
De Choudhury, Munmun	(5)	Microsoft Research
Robertson, George G.	(4)	Microsoft Research
Wobbrock, Jacob O.	(4)	Microsoft Research
Hutchings, Dugald Ralph	(4)	Microsoft Research
Toyama, Kentaro	(4)	Microsoft Research
Mahajan, Ratul	(4)	Microsoft Research
Thies, William	(4)	Microsoft Research
Wigdor, Daniel	(4)	Microsoft Research
Patel, Shwetak N.	(4)	Microsoft Research
Villar, Nicolas	(4)	Microsoft Research
Sellen, Abigail	(4)	Microsoft Research
Brush, A. J.	(4)	Microsoft Research
Zhang, Zhengyou	(4)	Microsoft Research
Smith, Catherine L.	(4)	Microsoft Research
Smith, Marc	(4)	Microsoft Research
schraefel, m.c.	(4)	Microsoft Research
Roseway, Asta	(4)	Microsoft Research
Banks, Richard	(4)	Microsoft Research
Monroy-Hernández, Andrés	(4)	Microsoft Research
Hoff, Aaron	(4)	Microsoft Research
Johns, Paul	(4)	Microsoft Research
Henry Riche, Nathalie	(4)	Microsoft Research
Czerwinski, Mary P.	(3)	Microsoft Research
Bederson, Benjamin B.	(3)	Microsoft Research
Stasko, John	(3)	Microsoft Research
Salesin, David	(3)	Microsoft Research
Dumais, Susan	(3)	Microsoft Research
Cohen, Michael	(3)	Microsoft Research
Jacobs, Charles	(3)	Microsoft Research
Golovchinsky, Gene	(3)	Microsoft Research
Marshall, Catherine C.	(3)	Microsoft Research
Ishii, Hiroshi	(3)	Microsoft Research
Drucker, Steven	(3)	Microsoft Research
Yuan, Junsong	(3)	Microsoft Research
Jung, Jaeyeon	(3)	Microsoft Research
Moscovich, Tomer	(3)	Microsoft Research
Izadi, Shahram	(3)	Microsoft Research
Shilman, Michael	(3)	Microsoft Research
Chetty, Marshini	(3)	Microsoft Research
Oliver, Nuria	(3)	Microsoft Research
